"Country","Recipient","Identification number <br/>(for legal persons)","Associated measure(s)","Amounts (€)","Recipient List Measure Descriptions"
"Romania","NXP SEMICONDUCTORS ROMANIA SRL","9582573","• Cross-border and multi-country projects — Low Power Processors and Semiconductor Chips","1.27E+7","The objective of this investment is to support the development of microelectronics field in Romania.
The investment consists in: i) building skills on microelectronic components and systems, ii) securing intellectual property and accelerating the application of advanced technologies in key areas of the national economy; and iii) coordinating with capabilities and needs at European level. 
"
"Romania","ORAS CHITILA","4420848","• Digital equipment and technological resources for schools and extracurricular educational establishments, 
• Establishment of a renovation wave fund to finance works to increase the energy efficiency of the existing building stock, 
• Establishment of a renovation wave fund to finance works to increase the energy efficiency of the existing building stock, 
• Pre-hospital medical infrastructure, 
• Provision of facilities for pre-university classrooms and school science laboratories/school cabinets, 
• Sustainable urban mobility","1.26E+7","The objective of this investment is to make available the digital equipment and technological resources for pre-university schools and extracurricular educational establishments. 
The investment consists in ensuring the infrastructure and digital equipment for pre-university schools and extracurricular educational establishments.
|The objective of the investment is to support renovation of multi-family buildings and public buildings in Romania to increase energy efficiency. 
The investment consist of:
-	Axis 1 - a national support scheme for energy efficiency renovation and integrated renovation (seismic consolidation and energy efficiency) of multi-family residential buildings. 
-	Axis 2 - a national support scheme for energy efficiency renovation and integrated renovation (seismic consolidation and energy efficiency) of public buildings. 
The investment also consists of the installation of new recharging points in the proximity of the renovated buildings. 
This measure complements Investment 1a. Establishment of a renovation wave fund to finance works to increase the energy efficiency of the existing building stock.
|The objective of the investment is to support the renovation of multi-family buildings and public buildings in Romania to increase energy efficiency.
The investment consists of two axes:
-	Axis 1 - a national support scheme for energy efficiency renovation and integrated renovation (seismic consolidation and energy efficiency) of multi-family residential buildings. 
-	Axis 2 - a national support scheme for energy efficiency renovation and integrated renovation (seismic consolidation and energy efficiency) of public buildings. 
The investment also consists of the installation of new recharging in the proximity of the renovated buildings. 
This measure complements Investment 1. Establishment of a renovation wave fund to finance works to increase the energy efficiency of the existing building stock.|The objective of this investment is to support the accessibility to basic health care.
The investment consists in investments in practices of family doctors or associations of primary care practices, outpatient care units, integrated community centres, and family planning offices.|The objective of this investment is to provide the necessary facilities to ensure quality standards in pre-university schools, county centres for resources and educational assistance and extracurricular educational units. 
The investment consists in ensuring the necessary equipment to school science laboratories or school cabinets and classrooms. 

|The objective of this investment is to increase access to sustainable and safe mobility solutions in urban and rural areas. 
The investment consists in upgrading transport infrastructure, with additional zero-emissions public transport vehicles, building charging points for electric vehicles at local/metropolitan level and providing intelligent transport systems and other ICT infrastructure to increase road security, reduce travelling time and traffic congestions.
"
"Slovakia","Slovenská agentúra životného prostredia","SK00626031","• Increasing energy efficiency of family houses, 
• Supporting the renovation of households at risk of energy poverty","4.85E+8","The objective of this measure is to increase the energy efficiency of family houses. This measure consists in the renovation of single family houses to achieve, on average, at least 30% primary energy savings.|The objective of this measure is to reduce energy poverty. This measure consists in supporting the renovation of single-family houses of people at risk of energy poverty."
"Slovakia","Ministerstvo školstva, výskumu, vývoja a mládeže SR","SK00164381","• Better services for citizens and businesses, 
• Compensatory measures to mitigate the impact of the pandemic in education for primary and secondary school pupils, 
• Completion of the school infrastructure, 
• Digital infrastructure in schools, 
• Excellent science, 
• Introduction of a system of periodic scientific performance evaluation, 
• Investment support for the strategic development of universities, 
• Promoting international cooperation and participation in Horizon Europe and EIT projects, 
• Promoting internationalisation in the academic environment, 
• Providing conditions for the implementation of compulsory pre-primary education for children from the age of 5 and introducing a legal entitlement to a place in kindergarten or other pre-primary education providers from the age of 3, 
• Reform of the content and form of education, 
• Removing barriers in school buildings, 
• Research and innovation for the digitalisation of the economy, 
• Research and innovation to decarbonise the economy, 
• Scholarships for domestic and foreign talented students, 
• Strengthening relations with the diaspora, 
• Supporting cooperation between companies  academia and R & D organisations, 
• The definition of the concept of special educational needs of children and pupils and the development of a model for eligible support measures in education  including their funding system","4.40E+8","The objective of this measure is to increase the uptake of eGovernment services.  

This measure consists in launching 16 priority life situations and making those available to the public using eGovernment solutions.|In order to address the problem of the lack of comprehensive data on the course of distance learning, Ministry of Education shall launch a call for carrying out extensive pedagogical research to analyse the impact of the pandemic on education and their implications for education policies._x000D_
The implementation of the reform is expected to start by 30 September 2021 and shall be completed by 31 December 2024.|This investment aims at better integrating pupils from disadvantaged backgrounds. This measure consists in the elimination of 35 two-shift schools in Slovakia.|The objective of this investment is to increase the percentage of schools with full digital entry and thereby create an environment that supports digital skill development and improves the digital inclusion among disadvantaged pupils. The investment consists in the delivery of digital equipment to 60% of schools|The objective of the investment is to create an internationally competitive environment for the best scientists in terms of salaries and availability of attractive research schemes.  

This measure consists in granting support to excellent researchers.|The implementation of the reform shall be completed by 31 December 2022.|The objective of this investment is to invest in the infrastructure of universities. This measure consists in reconstructing and renovating the infrastructure of universities.|The objective of this measure is to enable greater participation of Slovak institutions, researchers and companies in cutting edge projects of the European Research Area (ERA). 

The measure consists in grant support to preparation of Horizon Europe applications, high quality projects, which receive a very high score in ERA programmes but are left with no funding or high quality projects through “Matching grants” to leverage resources generated under Horizon 2020/Horizon Europe.|The objective of this measure is to support internationalisation of higher education institutions or research institutions in Slovakia.  

The measure consists in adopting a strategy for the internationalisation of universities, which shall include support to joint university programmes, measures to attract foreign students and academics and implement the principles of the Human Resources Strategy for Research (HRS4R) and support projects aimed at internationalisation of higher education institutions or research institutions.|The objective of this reform is to fulfil the preconditions for implementing compulsory pre-primary education for 5-year-old children and a legal entitlement to a place in pre-primary education for 3- and 4-year-old children. This measure consists in the amendment of legislation and the creation of capacity in kindergartens.|The objective of the reform is to create new learning curricula for primary and lower-secondary education, organised in educational cycles. This measure consists in the approval of the new state primary education programme, which allows for greater flexibility in developing school curricula, in the implementation of 40 regional support centres for schools, and in the provision of new learning materials. This measure also envisages the creation of an online testing environment aimed at digitalising the final test (maturita) on all upper-secondary schools.|The objective of this investment is to remove architectural barriers in 135 secondary schools. This measure consists in the establishment of a manual and the removal of barriers at 135 secondary schools.|The objective of the investment is to improve synergies in ‘digital’ RDI topics between the national and EU level.  

The measure consists of grant support and/or support via financial instruments to projects supporting the digitalisation of the economy, in line with the thematic priorities of Horizon Europe, such as for example digital and industrial technologies, internet of things, artificial intelligence and robotics. The support aims at the entire research and innovation cycle (Technology readiness level 1-9)|The objective of the investment is to improve synergies in ‘green’ RDI topics between the national and EU level.  

The measure consists of grant support to projects supporting the green transition and resilience and adaptation to climate change, in line with the thematic priorities of Horizon Europe, such as for example carbon free energy, electrification, hydrogen, battery technologies and alternative fuels, low emission industrial processes  and materials and bio-economy. The support aims at the entire research and innovation cycle (Technology readiness level 1-9).|The objective of this measure is to financially support domestic and foreign talented students. This measure consists in awarding scholarships for these target groups.|The objective of this measure is to strengthen relations with Slovaks abroad, increase the likelihood of their return home and promote brain circulation. 

The measure consists in delivering events with Slovaks abroad.|The objective of the investment is to increase private participation in RDI and increase the share of innovative businesses in the economy. 

This measure consists in grant support through various schemes: ‘matching grants’, ‘voucher’ support schemes and support for the creation of ‘transformative and innovative consortia’.|The objective of this reform is to support pupils with special educational needs. This measure consists in the amendment of legislation, the introduction of support measures and the provision of training."
"Slovakia","Železnice Slovenskej republiky","SK31364501","• The development of low-carbon transport infrastructure","3.40E+8","The objective of this investment is to promote the use of clean transport infrastructure. This investment consists of electrification of railway lines, upgrading railway lines, installation dispatching/digital security and communication devices, construction or modernising tram and trolleybus lines, and constructing cycling infrastructure."
"Slovakia","Univerzitná nemocnica Martin","SK00365327","• Digitalisation in health, 
• Excellent science, 
• Humanisation of institutional psychiatric care, 
• New hospital network – construction  reconstruction and equipment","1.79E+8","The objective of this measure is to support the implementation of the Reform 3 under this component, which focuses on the centralisation of largest hospitals. - Centralisation of the management of the largest hospitals.  

This measure consists in the centralisation of the Central integration platform (CIP) and digital applications within a pilot project of 19 hospitals under the responsibility of the Ministry of Health , and in the procurement and installation of medical technology in three cardiovascular institutes to enable the performance of atrial fibrillation surgeries.|The objective of the investment is to create an internationally competitive environment for the best scientists in terms of salaries and availability of attractive research schemes.  

This measure consists in granting support to excellent researchers.|The objective of this investment is to improve the conditions under which hospitalisation occurs in institutional psychiatric care. This measure consists in the reconstruction of institutional psychiatric care facilities.|The objective of the measure is to upgrade the existing hospital infrastructure and to construct new facilities aligned with the needs of a modern healthcare system,  

This measure consists in the construction or reconstruction of hospital facilities expressed by hospital bed capacity."
"Slovakia","Ministerstvo vnútra SR","SK00151866","• Better services for citizens and businesses, 
• Digital transformation of public service delivery, 
• Equipping and digitalising the police force, 
• Management of central government buildings, 
• Modernisation of the fire and rescue system, 
• Preventive measures  speed of incident detection and resolution (ITVS – Information technologies for public administration), 
• Streamlining  optimising and strengthening administrative capacity at different levels of government, 
• Support tools and assistance for specific target groups, 
• Tools and capacity for the fight against corruption and money laundering","1.67E+8","The objective of this measure is to increase the uptake of eGovernment services.  

This measure consists in launching 16 priority life situations and making those available to the public using eGovernment solutions.|The objective of this measure is to digitalise the public administration.  

This measure consists in digitalising processes of 34 sections in the public administration.|The objective of the measure is to build capacities of the police force and digitalise processes to make it more effective. 

The measure consists of a number of actions such as the provision of training and vehicles, renovation of buildings as well as procurement of modernised IT solutions.|The objective of this measure is to create the framework for an efficient management of central government buildings. This measure consists in creating a strategy for the management of central government buildings and a central coordinating body for administrative buildings of the central government, for increased energy efficiency, more efficient use of building space and strategic and prioritised planning of building renovations and construction.|The objective of the measure is the provision of the necessary physical and digital infrastructure for the modernization of the crisis management system. 

The investment consists of the set-up of an Integrated Security Centre and the construction and renovation of firefighting stations.|The objective of this measure is to increase the cybersecurity resilience and security of critical infrastructure of the public administration.  

This measure consists in further expanding an early response system for the cybersecurity of the public administration and in reconstructing and/or replacing elements (e.g. technical and physical infrastructure and equipment) of secured spaces for critical infrastructure.|Public investment is held back by a lack of administrative capacity in implementation at several levels. Sizeable investment envisaged in the plan implies the need to further increase capacities for managing these investments. In addition, service delivery is hampered by fragmented governance at municipal level.|The objective of this measure is to help integrate highly qualified foreign workers, foreign higher education students, Slovaks living abroad and family members of these target groups into Slovak society. 

This measure consists in providing consultations or support services for these target groups.|The fight against corruption and money laundering requires appropriate tools, including digital solutions, and capacities._x000D_
This investment shall provide several tools and capacity building measures to support reform_x000D_
1. This shall include digital software solutions for financial investigations and for the central accounts register. Financial investigations capacities in the police force shall be strengthened through trainings and equipment as well as a reorganisation, which shall create the National Centre for Special Crimes (NCODK) together with the regional offices and analytical services of the National Criminal Agency (NAKA). In addition, steps shall be taken to make the whistleblower’s office fully operational, in order to support the fight against corruption. This includes the provision of technical equipment._x000D_
The implementation of the investment shall be completed by 31 December 2023."
"Slovakia","Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica","SK00165549","• Digitalisation in health, 
• New hospital network – construction  reconstruction and equipment, 
• Providing conditions for the implementation of compulsory pre-primary education for children from the age of 5 and introducing a legal entitlement to a place in kindergarten or other pre-primary education providers from the age of 3","1.06E+8","The objective of this measure is to support the implementation of the Reform 3 under this component, which focuses on the centralisation of largest hospitals. - Centralisation of the management of the largest hospitals.  

This measure consists in the centralisation of the Central integration platform (CIP) and digital applications within a pilot project of 19 hospitals under the responsibility of the Ministry of Health , and in the procurement and installation of medical technology in three cardiovascular institutes to enable the performance of atrial fibrillation surgeries.|The objective of the measure is to upgrade the existing hospital infrastructure and to construct new facilities aligned with the needs of a modern healthcare system,  

This measure consists in the construction or reconstruction of hospital facilities expressed by hospital bed capacity.|The objective of this reform is to fulfil the preconditions for implementing compulsory pre-primary education for 5-year-old children and a legal entitlement to a place in pre-primary education for 3- and 4-year-old children. This measure consists in the amendment of legislation and the creation of capacity in kindergartens."
"Slovakia","Úrad podpredsedu vlády Slovenskej republiky pre plán obnovy a znalostnú ekonomiku","SK00151513","• Capacities for reforms to reduce regulatory burden, 
• Completion of the school infrastructure, 
• Excellent science, 
• Financial instruments to support innovation, 
• Promoting international cooperation and participation in Horizon Europe and EIT projects, 
• Providing conditions for the implementation of compulsory pre-primary education for children from the age of 5 and introducing a legal entitlement to a place in kindergarten or other pre-primary education providers from the age of 3, 
• Public procurement procedures, 
• Renovation of historical and listed public buildings, 
• Research and innovation for the digitalisation of the economy, 
• Research and innovation to decarbonise the economy, 
• Streamlining  optimising and strengthening administrative capacity at different levels of government, 
• Strengthening relations with the diaspora, 
• Supporting cooperation between companies  academia and R & D organisations","9.75E+7","The objective of the investment is to have temporary project teams in place to design and carry out Reform 1. This measure consists in training courses for the submitters of legislative and non-legislative materials involved in the application of the 1-in 2-out rule, the principle of protection against unjustified gold-plating, and ex-post evaluation of existing regulations.|This investment aims at better integrating pupils from disadvantaged backgrounds. This measure consists in the elimination of 35 two-shift schools in Slovakia.|The objective of the investment is to create an internationally competitive environment for the best scientists in terms of salaries and availability of attractive research schemes.  

This measure consists in granting support to excellent researchers.|The objective of the investment is to considerably increase the share of innovative businesses and invest in companies with significant technological and innovative potential.  

The measure consists of the set-up of intermediated financial instruments to invest in early stage (seed phase) as well as growth phase companies.|The objective of this measure is to enable greater participation of Slovak institutions, researchers and companies in cutting edge projects of the European Research Area (ERA). 

The measure consists in grant support to preparation of Horizon Europe applications, high quality projects, which receive a very high score in ERA programmes but are left with no funding or high quality projects through “Matching grants” to leverage resources generated under Horizon 2020/Horizon Europe.|The objective of this reform is to fulfil the preconditions for implementing compulsory pre-primary education for 5-year-old children and a legal entitlement to a place in pre-primary education for 3- and 4-year-old children. This measure consists in the amendment of legislation and the creation of capacity in kindergartens.|The complexity and length of the public procurement verification procedures remains a blocking factor for potential beneficiaries. In addition, there is scope to increase the use of quality related and lifecycle cost criteria. At the same time, proper safeguards need to be ensured. In the context of distrust towards public institutions, public buyers need to make more effort to regain confidence from businesses, media and the public at large. Benefits of professionalization efforts so far are only emerging slowly._x000D_
The reform of public procurement shall simplify and accelerate procedures while ensuring proper safeguards. It also aims at improving control by digitalising and automating award and evaluation of contracts. The legislative reform shall regulate both above-limit and below-limit public procedures as well as those with low value. Public procurement procedures shall be simplified and shortened, control procedures improved, and transparency increased in particular by setting up a single, public electronic platform for the entire procurement process, including for below-threshold and low-value contracts. All changes, particularly as proper safeguards such as transparency requirements, review procedures and the separation of tasks and competences are concerned, shall fully comply with EU law. In order to improve the use of quality criteria, rules for green public procurement are expected to be strengthened. It is expected that a further strengthening of the use of quality criteria shall be achieved through non-regulatory means. The measure shall enhance further professionalisation of public procurement by building capacities of the Public Procurement Office. Specifically, the provision of trainings in various formats to improve the application of –reformed- public procurement procedures shall take place._x000D_
The reform of the Public Procurement Act shall enter into force by 31 March 2022. The single electronic platform shall be operational by 30 June 2023.|The objective of this measure is to increase the energy efficiency and structural integrity of historic and listed public buildings while preserving their historical and cultural heritage and making them more  accessibile. This measure consists in the renovation of  historical and listed public buildings while achieving, on average, at least 30% of primary energy savings.|The objective of the investment is to improve synergies in ‘digital’ RDI topics between the national and EU level.  

The measure consists of grant support and/or support via financial instruments to projects supporting the digitalisation of the economy, in line with the thematic priorities of Horizon Europe, such as for example digital and industrial technologies, internet of things, artificial intelligence and robotics. The support aims at the entire research and innovation cycle (Technology readiness level 1-9)|The objective of the investment is to improve synergies in ‘green’ RDI topics between the national and EU level.  

The measure consists of grant support to projects supporting the green transition and resilience and adaptation to climate change, in line with the thematic priorities of Horizon Europe, such as for example carbon free energy, electrification, hydrogen, battery technologies and alternative fuels, low emission industrial processes  and materials and bio-economy. The support aims at the entire research and innovation cycle (Technology readiness level 1-9).|Public investment is held back by a lack of administrative capacity in implementation at several levels. Sizeable investment envisaged in the plan implies the need to further increase capacities for managing these investments. In addition, service delivery is hampered by fragmented governance at municipal level.|The objective of this measure is to strengthen relations with Slovaks abroad, increase the likelihood of their return home and promote brain circulation. 

The measure consists in delivering events with Slovaks abroad.|The objective of the investment is to increase private participation in RDI and increase the share of innovative businesses in the economy. 

This measure consists in grant support through various schemes: ‘matching grants’, ‘voucher’ support schemes and support for the creation of ‘transformative and innovative consortia’."
"Slovakia","Ministerstvo hospodárstva SR","SK00686832","• Capacities for reforms to reduce regulatory burden, 
• Construction of new renewable electricity sources, 
• Increasing the energy efficiency of public buildings, 
• Increasing the flexibility of electricity systems for greater integration of renewables, 
• Modernisation and digitalisation of transmission system and regional distribution systems, 
• Modernising the existing renewable energy sources (repowering), 
• Promoting international cooperation and participation in Horizon Europe and EIT projects, 
• Research and innovation for the digitalisation of the economy, 
• Research and innovation to decarbonise the economy, 
• Supporting cooperation between companies  academia and R & D organisations, 
• Supporting the green transition in renewables, 
• The introduction of new policies for the long-term promotion of alternative fuels in the transport sector","9.44E+7","The objective of the investment is to have temporary project teams in place to design and carry out Reform 1. This measure consists in training courses for the submitters of legislative and non-legislative materials involved in the application of the 1-in 2-out rule, the principle of protection against unjustified gold-plating, and ex-post evaluation of existing regulations.|The objective of this measure is to support the roll out of investments into new renewable sources of electricity. This measure follows upon the creation of a support scheme under the reform 2.  

This measure consists in the delivery of new generating capacity induced by new renewable energy sources connected to the grid.|The objective of this measure is to reduce the energy consumption in public buildings. This measure consists in energy efficiency interventions in public buildings.|The objective of this measure is to increase the flexibility of the Slovak electricity network. This measure follows upon the creation of a support scheme under the reform 2. 

This measure consists of supporting electricity storage facilities and increasing the electricity balancing capacity in hydropower plants.|The objective of investment 1 of the REPowerEU chapter, consisting of two parts, is to contribute to the modernisation and digitalisation of the electricity networks in Slovakia. In particular, it shall help to accommodating the expected increase in intermittent renewables. 

Investment 1 - part 3: The objective of this investment is to make the Slovak electricity distribution system more robust, also in view of raising volumes of RES connections. The measure consists in 
implementing investments into modernisatrion of the electricity networks at distribution level in Slovakia. 

Investment 1 - part 4: supports implementation of information system of the Energy Data Centre (EDC). 
This investment reacts to changes in the Slovak legal framework, in particular to amendment of the Act on Energy (251/2012 Coll.) effective as of 1st of October 2022 as part of the recovery and 
resilience plan. The EDC is expected to facilitate the new activities and access of the new market participants into the electricity market while helping them to safeguard their rights in the new market environment.The aim of the investment is to implement the EDC’s information system to ensure its efficient operation in order to allow for a better integration of renewable energy sources into the grid. The EDC shall improve the preconditions for the connection of renewable energy sources by streamlining required data. In particular, the investment shall address the issues such as 
aggregating flexibility; energy communities and sharing energy from RES; accumulation, management of core data; data from smart metering systems; sharing electricity generation data 
(supporting invoicing, clearing and imbalance settlement) and reporting.|The objective of this measure is to extend the technological lifetime, upgrade and increase the efficiency of existing renewable energy source capacities (repowering). This measure follows upon the creation of a support scheme under the reform 2.  

This measure consists of refurbishing biogas stations, transforming biogas-based electricity generation facilities into biomethane plants, and hydropower generation facilities.|The objective of this measure is to enable greater participation of Slovak institutions, researchers and companies in cutting edge projects of the European Research Area (ERA). 

The measure consists in grant support to preparation of Horizon Europe applications, high quality projects, which receive a very high score in ERA programmes but are left with no funding or high quality projects through “Matching grants” to leverage resources generated under Horizon 2020/Horizon Europe.|The objective of the investment is to improve synergies in ‘digital’ RDI topics between the national and EU level.  

The measure consists of grant support and/or support via financial instruments to projects supporting the digitalisation of the economy, in line with the thematic priorities of Horizon Europe, such as for example digital and industrial technologies, internet of things, artificial intelligence and robotics. The support aims at the entire research and innovation cycle (Technology readiness level 1-9)|The objective of the investment is to improve synergies in ‘green’ RDI topics between the national and EU level.  

The measure consists of grant support to projects supporting the green transition and resilience and adaptation to climate change, in line with the thematic priorities of Horizon Europe, such as for example carbon free energy, electrification, hydrogen, battery technologies and alternative fuels, low emission industrial processes  and materials and bio-economy. The support aims at the entire research and innovation cycle (Technology readiness level 1-9).|The objective of the investment is to increase private participation in RDI and increase the share of innovative businesses in the economy. 

This measure consists in grant support through various schemes: ‘matching grants’, ‘voucher’ support schemes and support for the creation of ‘transformative and innovative consortia’.|This reform is composed of three sub-measure and one investment with two sub-parts. The objective of this reform is to accelerate the deployment of new renewable energy sources in Slovakia. 

C19.R2. Sub-measure 1: Development of methodologies and establishment of pilot ‘go-to areas’ suitable for wind energy development
The objective of the sub-measure is to increase the potential for investment into wind-power in Slovakia. This measure consists of introducing specific simplified permitting procedures for the 
development of installations within ‘go-to areas’ and establishing pilot ‘go-to areas’.

C19.R2. Sub-measure 2: Action Plan of the National Hydrogen Strategy of the Slovak Republic and enabling conditions for the development of hydrogen economy in Slovakia
The objective of this sub-measure is to define promote targets for the use of hydrogen as well as to set out priorities for the development of a primarily renewable national hydrogen ecosystem., based on hydrogen production balance scenarios, hydrogen consumption and hydrogen import and export balances within the European hydrogen transmission network. This sub-measure consists of the adoption of the Hydrogen Action Plan, a strategic document on the Slovak hydrogen ecosystem, and entry into force of legislative measures and technical norms.

C19.R2. Sub-measure 3: Integration of renewables into the electricity grid
The objective of the sub-measure is to improve the use of available electricity grid capacity and contribute to a faster rollout of renewable energy investments in Slovakia. This sub-measure consists in establishing new rules and procedures for grid connection binding to all three regional Distribution System Operators in the territory of the Slovak Republic.|The reform shall be supported through the entry into force, by 31 December 2022 of new legislative measures shall reform distribution tariffs, simplify and accelerate the process of constructing alternative propulsion infrastructure. They shall also introduce a ‘Recharging Point Rights’ and a stable, predictable multi-annual framework to support the construction of relevant alternative propulsion infrastructure."
"Slovakia","Slovenská technická univerzita v Bratislave","SK00397687","• Cybersecurity training and skills (ITVS – Information technologies for public administration), 
• Excellent science, 
• Investment support for the strategic development of universities, 
• Promoting international cooperation and participation in Horizon Europe and EIT projects, 
• Promoting internationalisation in the academic environment, 
• Research and innovation for the digitalisation of the economy, 
• Research and innovation to decarbonise the economy, 
• Scholarships for domestic and foreign talented students, 
• Supporting cooperation between companies  academia and R & D organisations","5.74E+7","The objective of this measure is to enhance cybersecurity skills in the public administration.  

This measure consists in delivering cybersecurity trainings and establishing competence centers.|The objective of the investment is to create an internationally competitive environment for the best scientists in terms of salaries and availability of attractive research schemes.  

This measure consists in granting support to excellent researchers.|The objective of this investment is to invest in the infrastructure of universities. This measure consists in reconstructing and renovating the infrastructure of universities.|The objective of this measure is to enable greater participation of Slovak institutions, researchers and companies in cutting edge projects of the European Research Area (ERA). 

The measure consists in grant support to preparation of Horizon Europe applications, high quality projects, which receive a very high score in ERA programmes but are left with no funding or high quality projects through “Matching grants” to leverage resources generated under Horizon 2020/Horizon Europe.|The objective of this measure is to support internationalisation of higher education institutions or research institutions in Slovakia.  

The measure consists in adopting a strategy for the internationalisation of universities, which shall include support to joint university programmes, measures to attract foreign students and academics and implement the principles of the Human Resources Strategy for Research (HRS4R) and support projects aimed at internationalisation of higher education institutions or research institutions.|The objective of the investment is to improve synergies in ‘digital’ RDI topics between the national and EU level.  

The measure consists of grant support and/or support via financial instruments to projects supporting the digitalisation of the economy, in line with the thematic priorities of Horizon Europe, such as for example digital and industrial technologies, internet of things, artificial intelligence and robotics. The support aims at the entire research and innovation cycle (Technology readiness level 1-9)|The objective of the investment is to improve synergies in ‘green’ RDI topics between the national and EU level.  

The measure consists of grant support to projects supporting the green transition and resilience and adaptation to climate change, in line with the thematic priorities of Horizon Europe, such as for example carbon free energy, electrification, hydrogen, battery technologies and alternative fuels, low emission industrial processes  and materials and bio-economy. The support aims at the entire research and innovation cycle (Technology readiness level 1-9).|The objective of this measure is to financially support domestic and foreign talented students. This measure consists in awarding scholarships for these target groups.|The objective of the investment is to increase private participation in RDI and increase the share of innovative businesses in the economy. 

This measure consists in grant support through various schemes: ‘matching grants’, ‘voucher’ support schemes and support for the creation of ‘transformative and innovative consortia’."
"Slovakia","Mestský súd Bratislava III","SK00039501","• Buildings for the reorganised court system","4.85E+7","The objective of the measure is to modernise court buildings under the new judicial map. 

The measure consists of renovating and modernising existing buildings, as well as procuring new suitable premises for courts."
"Slovakia","Mestský súd Bratislava IV","SK00039535","• Buildings for the reorganised court system","4.82E+7","The objective of the measure is to modernise court buildings under the new judicial map. 

The measure consists of renovating and modernising existing buildings, as well as procuring new suitable premises for courts."
"Slovakia","Nemocnica Poprad, a.s.","SK36513458","• Digitalisation in health, 
• New hospital network – construction  reconstruction and equipment","4.75E+7","The objective of this measure is to support the implementation of the Reform 3 under this component, which focuses on the centralisation of largest hospitals. - Centralisation of the management of the largest hospitals.  

This measure consists in the centralisation of the Central integration platform (CIP) and digital applications within a pilot project of 19 hospitals under the responsibility of the Ministry of Health , and in the procurement and installation of medical technology in three cardiovascular institutes to enable the performance of atrial fibrillation surgeries.|The objective of the measure is to upgrade the existing hospital infrastructure and to construct new facilities aligned with the needs of a modern healthcare system,  

This measure consists in the construction or reconstruction of hospital facilities expressed by hospital bed capacity."
"Slovakia","Nemocnica AGEL Levice s.r.o.","SK50861450","• Extension and renewal of after-care and nursing capacities, 
• New hospital network – construction  reconstruction and equipment","3.65E+7","The objective of this investment is to improve after-care for patients post-hospitalisation and enhance home-based nursing capacities to reduce unnecessary re-hospitalizations.  

The measure consists in the creation of new after-care beds and support home nursing providers by establishing new ones and equipping existing facilities.|The objective of the measure is to upgrade the existing hospital infrastructure and to construct new facilities aligned with the needs of a modern healthcare system,  

This measure consists in the construction or reconstruction of hospital facilities expressed by hospital bed capacity."
"Slovakia","Ministerstvo zdravotníctva SR","SK00165565","• Building community-based mental healthcare centres, 
• Construction and rehabilitation of ambulance stations, 
• Coordinated inter-ministerial cooperation and regulation, 
• Creation of detention facilities, 
• Digitalisation in health, 
• Extension and renewal of after-care and nursing capacities, 
• New hospital network – construction  reconstruction and equipment, 
• Optimisation of the hospital network, 
• Support the opening of new primary care practices in underserved areas, 
• Training in mental health for staff","3.17E+7","The objective of this investment is to increase the availabilty of community-based mental healthcare centres. This measure consists in establising psycho-social centres, psychiatric stationary facilities and centres for autism spectrum disorders.|The objective of this measure is to support the implementation of Reform 1 and Reform 4, aimed at optimising the hospital and emergency care networks, including the reorganisation of ambulance stations. 

This measure consists in the construction and/or reconstruction of small-scale ambulance stations, with some facilities rebuilt and others upgraded, ensuring they meet energy efficiency and fair geographical distribution standards.|The objective of this reform is to improve the coordination of policy in the domain of mental health across the public adminsitration. This measure consists of the establishment of a government council as a coordination body, the expansion of the competencies for an association for psychologists and the submission of an epidemiological study with a view to future publication.|The objective of this investment is to provide care to psychiatric patients who committed serious criminal offences This measure consists in constructing one detention facility entirely and finishing the ongoing construction of a second detention facility.|The objective of this measure is to support the implementation of the Reform 3 under this component, which focuses on the centralisation of largest hospitals. - Centralisation of the management of the largest hospitals.  

This measure consists in the centralisation of the Central integration platform (CIP) and digital applications within a pilot project of 19 hospitals under the responsibility of the Ministry of Health , and in the procurement and installation of medical technology in three cardiovascular institutes to enable the performance of atrial fibrillation surgeries.|The objective of this investment is to improve after-care for patients post-hospitalisation and enhance home-based nursing capacities to reduce unnecessary re-hospitalizations.  

The measure consists in the creation of new after-care beds and support home nursing providers by establishing new ones and equipping existing facilities.|The objective of the measure is to upgrade the existing hospital infrastructure and to construct new facilities aligned with the needs of a modern healthcare system,  

This measure consists in the construction or reconstruction of hospital facilities expressed by hospital bed capacity.|The objective of the reform is to improve the quality and efficiency of inpatient healthcare through the definition of the typology and hierarchy of inpatient care, as well as the definition of minimum conditions for the provision of medical services.  

The measure consists in defining profiles of hospitals. A profile means a set of compulsory services and other requirements a provider at a certain level must comply with. After changing the profile, certain hospitals will be obliged to cover several services grouped under the specified profile. Some will broaden the scope of activity, others are expected to transform acute beds’ departments into long-term care departments.|The objective of this measure is to ensure adequate healthcare coverage in underserved regions by supporting the establishment of new outpatient practices in areas facing a shortage of general practitioners for both adult and children. 

The measure consists in providing temporary financial support to physicians setting up new outpatient practices, covering either first-year operating costs or initial investment expenses.|The objective of this investment is to increase the availabilty and quality of mental healthcare. This measure consists in the training of persons working in the domain of mental healthcare."
